IATA,Countries,Cities
WSZ, Nueva Zelanda,Westport
WTB, Australia,Toowoomba
WTK, Estados Unidos,Noatak
WTL, Estados Unidos,Tuntutuliak
WUA, China,Wuhai
WUH, China,Wuhan
WUN, Australia,Wiluna
WUS, China,Ciudad de Wuyishan
WUT, China,Xinzhou
WUU, Sudan,Wau
WUX, China,Wuxi
WUZ, China,Wuzhou
WVB, Namibia,Walvis Bay
WWK, Papua Nueva Guinea,Wewak
WWP, Estados Unidos,Whale Pass
WWT, Estados Unidos,Newtok
WXN, China,Wanzhou
WYA, Australia,Whyalla
WYS, Estados Unidos,West Yellowstone
XAI, China,Xinyang
XAP, Brasil,Chapeco
XBE, Canada,Bearskin Lake
XBJ, Corri,Birjand
XCH, Australia,Shire of Christmas Island
XCR, Francia,Paris
XEQ, Groenlandia,Tasiusaq
XFN, China,Xiangyang
XFW, Alemania,Hamburg
XGR, Canada,Kangiqsualujjuaq
XIC, China,Xichang
XIL, China,Xilinhot
XIQ, Groenlandia,Ilimanaq
XIY, China,Xi'an
XKH, Laos,Phonsavan
XKS, Canada,Kasabonika First Nation
XMH, Polinesia frances,Manihi
XMN, China,Xiamen
XMY, Australia,Yam Island
XNA, Estados Unidos,Fayetteville
XNN, China,Xining
XPL, Honduras,Comayagua
XQP, Costa Rica,Quepos
XRY, Espana,Jerez de la Frontera
XSC, Turks y Caicos,Caicos del Sur
XSP, Singapur,Seletar
XTG, Australia,Thargomindah
XUZ, China,Xuzhou
XWA, Estados Unidos,Williston
YAB, Canada,Arctic Bay
YAG, Canada,Fort Frances
YAK, Estados Unidos,Yakutat
YAM, Canada,Sault Ste. Marie
YAP, micronesia,Yap
YAQ, Canada,Maple Bay
YAT, Canada,Attawapiskat First Nation
YAX, Canada,Wapekeka
YAY, Canada,St. Anthony
YAZ, Canada,Tofino
YBB, Canada,Kugaaruk
YBC, Canada,Baie-Comeau
YBE, Canada,Uranium City
YBG, Canada,Saguenay
YBI, Canada,Black Tickle
YBK, Nunavut,Baker Lake
YBL, Canada,Campbell River
YBP, China,Yibin
YBR, Canada,Brandon
YBX, Canada,Blanc-Sablon
YCB, Canada,Cambridge Bay
YCD, Canada,Nanaimo
YCG, Canada,Castlegar
YCK, Canada,Colville Lake
YCM, Canada,St. Catharines
YCO, Canada,Kugluktuk
YCS, Canada,Chesterfield Inlet
YCU, China,Yuncheng
YCY, Nunavut,Clyde River
YDA, Canada,Dawson City
YDF, Canada,Deer Lake
YDP, Canada,Nain
YDQ, Canada,Dawson Creek
YEG, Canada,Edmonton
YEI, pavo,Bursa
YEK, Canada,Arviat
YER, Canada,Fort Severn
YES, Corri,Yasuj
YEV, Canada,Inuvik
YFA, Canada,Fort Albany First Nation
YFB, Canada,Iqaluit
YFC, Canada,Fredericton
YFJ, Canada,Wekweeti
YFO, Canada,Flin Flon
YFS, Canada,Fort Simpson
YFX, Canada,St. Lewis
YGG, Canada,British Columbia
YGH, Canada,Fort Good Hope
YGJ, Japon,Yonago
YGK, Canada,Kingston
YGL, Canada,La Grande River
YGP, Canada,Gaspe
YGR, Canada,Les Iles-de-la-Madeleine
YGT, Canada,Igloolik
YGW, Canada,Kuujjuarapik
YGX, Canada,Gillam
YGZ, Canada,Grise Fiord
YHA, Canada,Port Hope Simpson
YHD, Canada,Dryden
YHG, Canada,Charlottetown
YHI, Canada,Ulukhaktok
YHK, Canada,Gjoa Haven
YHM, Canada,Hamilton
YHO, Canada,Hopedale
YHP, Canada,Poplar Hill
YHS, Canada,Sechelt
YHU, Canada,Longueuil
YHY, Canada,Hay River
YHZ, Canada,Halifax
YIA, Indonesia,Yogyakarta
YIC, China,Yichun
YIE, China,Arxan
YIF, Cote-Nord,Saint-Augustin
YIH, China,Yichang
YIK, Canada,Ivujivik
YIN, China,Gulja
YIO, Canada,Pond Inlet
YIW, China,Yiwu
YKA, Canada,Kamloops
YKF, Canada,Waterloo
YKG, Canada,Kangirsuk
YKH, China,Yingkou
YKL, Canada,Schefferville
YKM, Estados Unidos,Yakima
YKO, pavo,Hakkari
YKQ, Canada,Waskaganish
YKS, Rusia,Yakutsk
YKU, Canada,Chisasibi
YLC, Canada,Kimmirut
YLE, Canada,Lac La Martre
YLL, Canada,Lloydminster
YLW, Canada,Kelowna
YLX, China,Yulin
YMH, Canada,Mary's Harbour
YMM, Canada,Fort McMurray
YMN, Canada,Makkovik
YMO, Canada,Moosonee
YMT, Canada,Chibougamau
YMX, Canada,Montreal
YNB, Arabia Saudita,Yanbu
YNC, Quebec,Wemindji
YNJ, China,Yanji
YNL, Canada,Points North Landing
YNO, Canada,North Spirit Lake
YNP, Canada,Natuashish
YNS, Canada,Nemaska
YNT, China,Yantai
YNY, Corea del Sur,Yangyang
YNZ, China,Yancheng
YOC, Canada,Old Crow
YOJ, Canada,High Level
YOL, Nigeria,Yola
YON, Butan,Trashigang
YOW, Canada,Ottawa
YPA, Canada,Prince Albert
YPH, Canada,Inukjuak
YPJ, Canada,Aupaluk
YPL, Canada,Pickle Lake
YPM, Canada,Pikangikum First Nation
YPO, Canada,Peawanuck
YPR, Canada,Prince Rupert
YPW, British Columbia,Powell River
YPX, Canada,Puvirnituq
YPY, Canada,Fort Chipewyan
YQB, Canada,Quebec
YQC, Canada,Quaqtaq
YQD, Canada,The Pas
YQG, Canada,Windsor
YQK, Canada,Kenora
YQL, Canada,Lethbridge
YQM, Canada,Moncton
YQQ, Canada,Comox
YQR, Canada,Regina
YQT, Canada,Thunder Bay
YQU, Canada,Grande Prairie
YQX, Canada,Gander
YQY, Canada,Sydney
YQZ, Canada,Quesnel
YRA, Canada,Gameti
YRB, Canada,Resolute
YRF, Canada,Cartwright
YRG, Canada,Rigolet
YRL, Canada,Red Lake
YRT, Canada,Rankin Inlet
YSB, Canada,Gran Sudbury
YSF, Canada,Stony Rapids
YSG, Canada,Lutselk'e
YSJ, Canada,Saint John
YSK, Canada,Sanikiluaq
YSM, Canada,Fort Smith
YSO, Canada,Postville
YSQ, China,Songyuan
YTE, Canada,Cape Dorset
YTH, Canada,Thompson
YTL, Canada,Big Trout Lake
YTM, Canada,Mont-Tremblant
YTQ, Canada,Tasiujaq
YTS, Canada,Timmins
YTW, China,Yutian
YTY, China,Yangzhou
YTZ, Canada,Toronto
YUD, Canada,Umiujaq
YUL, Canada,Montreal
YUM, Estados Unidos,Yuma
YUS, China,Yushu
YUT, Canada,Naujaat
YUX, Canada,Hall Beach
YUY, Canada,Rouyn-Noranda
YVB, Canada,Bonaventure
YVC, Canada,La Ronge
YVM, Canada,Qikiqtarjuaq
YVO, Canada,Val-d Or
YVP, Canada,Kuujjuaq
YVQ, Canada,Norman Wells
YVR, Canada,Vancouver
YVZ, Canada,Deer Lake
YWB, Canada,Kangiqsujuaq
YWG, Canada,Winnipeg
YWH, Canada,Victoria
YWJ, Canada,Deline
YWK, Canada,Wabush
YWL, Canada,Williams Lake
YXC, Canada,Cranbrook
YXE, Canada,Saskatoon
YXH, Canada,Medicine Hat
YXJ, Canada,Fort St. John
YXL, Canada,Sioux Lookout
YXN, Nunavut,Whale Cove
YXP, Canada,Pangnirtung
YXS, Canada,Prince George
YXT, Canada,Terrace
YXU, Canada,London
YXX, Canada,Abbotsford
YXY, Canada,Whitehorse
YYA, China,Yueyang
YYB, Canada,North Bay
YYC, Canada,Calgary
YYD, Canada,Smithers
YYE, Canada,Fort Nelson
YYF, Canada,Penticton
YYG, Canada,Charlottetown
YYH, Canada,Taloyoak
YYJ, Canada,Victoria
YYQ, Canada,Churchill
YYR, Canada,Happy Valley-Goose Bay
YYT, Canada,San Juan de Terranova
YYY, Canada,Mont-Joli
YYZ, Canada,Toronto
YZF, Canada,Yellowknife
YZG, Canada,Salluit
YZP, Canada,Sandspit
YZS, Canada,Coral Harbour
YZT, Canada,Port Hardy
YZV, Canada,Sept-Iles
YZY, China,Zhangye
YZZ, Canada,Trail
ZAD, Croacia,Zadar
ZAG, Croacia,Zagreb
ZAH, Corri,Zahedan
ZAL, Chile,Valdivia
ZAM, Filipinas,Zamboanga
ZAT, China,Zhaotong
ZAZ, Espana,Zaragoza
ZBF, Canada,Bathurst
ZBL, Australia,Biloela
ZBR, Corri,Chabahar
ZCL, Mexico,Zacatecas
ZCO, Chile,Temuco
ZEL, Canada,Bella Bella
ZEM, Quebec,Eastmain
ZFD, Canada,Fond-du-Lac
ZFN, Canada,Tulita
ZGS, Canada,La Romaine
ZGU, Vanuatu,Gaua
ZHA, China,Zhanjiang
ZHY, China,Zhongwei
ZIA, Rusia,Moscu
ZIG, Senegal,Ziguinchor
ZIH, Mexico,Ixtapa Zihuatanejo
ZIS, Libia,Zintan
ZIX, Rusia,Zhigansk
ZKE, Canada,Kashechewan
ZKP, Rusia,Zyryanka
ZLO, Mexico,Manzanillo
ZMT, Canada,Masset
ZNA, Canada,Nanaimo
ZND, Niger,Zinder
ZNE, Australia,Newman
ZNZ, Tanzania,Zanzibar
ZOS, Chile,Osorno
ZQN, Nueva Zelanda,Queenstown
ZQZ, China,Zhangjiakou
ZRH, Suiza,Zurich
ZSA, Bahamas,San Salvador Island
ZSE, Reunion,Saint-Pierre
ZSJ, Canada,Sandy Lake
ZTA, Polinesia frances,Tureia
ZTH, Grecia,Zante
ZUH, China,Zhuhai
ZUM, Canada,Churchill Falls
ZVK, Laos,Savannakhet
ZWL, Canada,Wollaston Lake
ZYI, China,Zunyi
ZYL, Bangladesh,Sylhet
ZZO, Rusia,Tymovskoye Zonalnoye
